                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 0.2111,                0.61429,                0.96429,                0.79525,               0.006832,               0.006832,               0.006832
                     66,                0.20939,                0.61429,                0.96571,                0.79524,              0.0067825,              0.0067825,              0.0067825
                     67,                0.21086,                0.60857,                0.96429,                0.79512,               0.006733,               0.006733,               0.006733
                     68,                0.21051,                0.61429,                0.96429,                0.79499,              0.0066835,              0.0066835,              0.0066835
                     69,                 0.2075,                0.61143,                0.96571,                0.79478,               0.006634,               0.006634,               0.006634
                     70,                0.20873,                0.61286,                0.96571,                0.79464,              0.0065845,              0.0065845,              0.0065845
                     71,                0.20536,                0.61571,                0.96571,                0.79442,               0.006535,               0.006535,               0.006535
                     72,                0.20625,                0.61143,                0.96714,                0.79415,              0.0064855,              0.0064855,              0.0064855
                     73,                0.20654,                0.61429,                0.96714,                0.79401,               0.006436,               0.006436,               0.006436
                     74,                0.20596,                0.61571,                0.96714,                 0.7939,              0.0063865,              0.0063865,              0.0063865
                     75,                 0.2038,                0.61429,                0.96714,                0.79377,               0.006337,               0.006337,               0.006337
                     76,                0.20333,                0.61286,                0.96714,                0.79345,              0.0062875,              0.0062875,              0.0062875
                     77,                0.20344,                0.61143,                0.96714,                0.79309,               0.006238,               0.006238,               0.006238
                     78,                0.20271,                0.61286,                0.96714,                0.79275,              0.0061885,              0.0061885,              0.0061885
                     79,                0.19944,                0.61571,                0.96714,                0.79228,               0.006139,               0.006139,               0.006139
                     80,                0.19903,                0.61143,                0.96714,                0.79203,              0.0060895,              0.0060895,              0.0060895
                     81,                0.19936,                0.61429,                0.96714,                0.79172,                0.00604,                0.00604,                0.00604
                     82,                0.19933,                0.61429,                0.96714,                0.79154,              0.0059905,              0.0059905,              0.0059905
                     83,                0.19856,                0.61571,                0.96571,                0.79136,               0.005941,               0.005941,               0.005941
                     84,                0.19738,                0.61429,                0.96571,                0.79111,              0.0058915,              0.0058915,              0.0058915
                     85,                0.19653,                0.61571,                0.96571,                0.79081,               0.005842,               0.005842,               0.005842
                     86,                0.19633,                0.61571,                0.96571,                 0.7905,              0.0057925,              0.0057925,              0.0057925
                     87,                0.19462,                0.61429,                0.96571,                0.79024,               0.005743,               0.005743,               0.005743
                     88,                0.19442,                0.61571,                0.96571,                0.78999,              0.0056935,              0.0056935,              0.0056935
                     89,                0.19408,                0.61857,                0.96571,                0.78979,               0.005644,               0.005644,               0.005644
                     90,                 0.1932,                0.61714,                0.96571,                0.78945,              0.0055945,              0.0055945,              0.0055945
                     91,                0.19152,                   0.62,                0.96571,                0.78911,               0.005545,               0.005545,               0.005545
                     92,                 0.1902,                0.62143,                0.96286,                0.78886,              0.0054955,              0.0054955,              0.0054955
                     93,                0.18946,                0.62143,                0.96429,                0.78861,               0.005446,               0.005446,               0.005446
                     94,                0.18868,                0.61714,                0.96429,                0.78839,              0.0053965,              0.0053965,              0.0053965
                     95,                0.18834,                0.61714,                0.96286,                0.78813,               0.005347,               0.005347,               0.005347
                     96,                0.18762,                0.61714,                0.96143,                0.78784,              0.0052975,              0.0052975,              0.0052975
                     97,                0.18708,                0.61857,                0.96143,                0.78743,               0.005248,               0.005248,               0.005248
                     98,                0.18536,                0.61429,                   0.96,                0.78709,              0.0051985,              0.0051985,              0.0051985
                     99,                0.18573,                0.61429,                0.96143,                0.78681,               0.005149,               0.005149,               0.005149
                    100,                0.18406,                0.61571,                0.96143,                0.78634,              0.0050995,              0.0050995,              0.0050995
                    101,                0.18304,                0.61571,                0.96286,                0.78608,                0.00505,                0.00505,                0.00505
                    102,                0.18188,                0.61714,                0.96143,                 0.7859,              0.0050005,              0.0050005,              0.0050005
                    103,                0.18104,                   0.62,                0.96286,                 0.7857,               0.004951,               0.004951,               0.004951
                    104,                0.17911,                   0.62,                0.96429,                 0.7854,              0.0049015,              0.0049015,              0.0049015
                    105,                 0.1785,                0.62143,                0.96429,                0.78508,               0.004852,               0.004852,               0.004852
                    106,                0.18128,                0.61857,                0.96429,                0.78484,              0.0048025,              0.0048025,              0.0048025
                    107,                0.17725,                0.62286,                0.96286,                0.78452,               0.004753,               0.004753,               0.004753
                    108,                0.17823,                0.62429,                0.96286,                 0.7842,              0.0047035,              0.0047035,              0.0047035
                    109,                0.17642,                0.62429,                0.96429,                0.78377,               0.004654,               0.004654,               0.004654
                    110,                0.17562,                0.62429,                0.96429,                0.78349,              0.0046045,              0.0046045,              0.0046045
                    111,                0.17446,                0.62571,                0.96429,                0.78313,               0.004555,               0.004555,               0.004555
                    112,                0.17543,                   0.63,                0.96286,                0.78273,              0.0045055,              0.0045055,              0.0045055
                    113,                0.17413,                   0.63,                0.96286,                0.78249,               0.004456,               0.004456,               0.004456
                    114,                0.17222,                0.63429,                0.96286,                0.78228,              0.0044065,              0.0044065,              0.0044065
                    115,                0.17167,                0.63429,                0.96286,                0.78199,               0.004357,               0.004357,               0.004357
                    116,                0.17114,                0.63571,                0.96143,                0.78187,              0.0043075,              0.0043075,              0.0043075
                    117,                0.16841,                0.63714,                0.96143,                0.78167,               0.004258,               0.004258,               0.004258
                    118,                0.16979,                0.63571,                0.96143,                 0.7814,              0.0042085,              0.0042085,              0.0042085
                    119,                0.16855,                0.63571,                0.96429,                0.78109,               0.004159,               0.004159,               0.004159
                    120,                0.16824,                0.63429,                0.96286,                0.78087,              0.0041095,              0.0041095,              0.0041095
                    121,                0.16677,                0.63286,                0.96286,                0.78071,                0.00406,                0.00406,                0.00406
                    122,                0.16397,                0.63286,                0.96286,                0.78032,              0.0040105,              0.0040105,              0.0040105
                    123,                 0.1641,                0.62857,                0.96286,                0.78008,               0.003961,               0.003961,               0.003961
                    124,                0.16379,                0.63429,                0.96286,                0.77978,              0.0039115,              0.0039115,              0.0039115
                    125,                0.16212,                0.63286,                0.96286,                0.77941,               0.003862,               0.003862,               0.003862
                    126,                0.16224,                   0.64,                0.96429,                0.77912,              0.0038125,              0.0038125,              0.0038125
                    127,                0.15976,                0.63714,                0.96571,                0.77883,               0.003763,               0.003763,               0.003763
                    128,                0.15923,                0.63857,                0.96571,                0.77865,              0.0037135,              0.0037135,              0.0037135
                    129,                0.15943,                0.63714,                0.96429,                0.77852,               0.003664,               0.003664,               0.003664
                    130,                0.15737,                0.63571,                0.96571,                0.77825,              0.0036145,              0.0036145,              0.0036145
                    131,                0.15496,                0.63857,                0.96714,                0.77799,               0.003565,               0.003565,               0.003565
                    132,                0.15516,                0.63857,                0.96714,                0.77763,              0.0035155,              0.0035155,              0.0035155
                    133,                0.15398,                0.63714,                0.96571,                0.77743,               0.003466,               0.003466,               0.003466
                    134,                0.15416,                0.63857,                0.96714,                0.77732,              0.0034165,              0.0034165,              0.0034165
                    135,                 0.1523,                0.63714,                0.96714,                0.77738,               0.003367,               0.003367,               0.003367
                    136,                0.15236,                0.64143,                0.96571,                 0.7772,              0.0033175,              0.0033175,              0.0033175
                    137,                0.15192,                0.64143,                0.96714,                0.77702,               0.003268,               0.003268,               0.003268
                    138,                0.15098,                   0.64,                0.96714,                0.77693,              0.0032185,              0.0032185,              0.0032185
                    139,                0.14927,                0.63857,                0.96857,                0.77676,               0.003169,               0.003169,               0.003169
                    140,                0.14765,                   0.64,                0.96857,                0.77654,              0.0031195,              0.0031195,              0.0031195
                    141,                0.14788,                0.63857,                0.96857,                0.77633,                0.00307,                0.00307,                0.00307
                    142,                0.14571,                0.63714,                0.96857,                0.77604,              0.0030205,              0.0030205,              0.0030205
                    143,                0.14203,                0.63571,                0.96857,                0.77573,               0.002971,               0.002971,               0.002971
                    144,                0.14221,                0.63429,                0.96857,                0.77539,              0.0029215,              0.0029215,              0.0029215
                    145,                0.14345,                0.63714,                0.96714,                0.77507,               0.002872,               0.002872,               0.002872
                    146,                0.14175,                0.63571,                   0.97,                0.77476,              0.0028225,              0.0028225,              0.0028225
                    147,                0.13854,                0.63286,                0.96857,                0.77448,               0.002773,               0.002773,               0.002773
                    148,                0.13816,                0.63286,                0.96714,                0.77422,              0.0027235,              0.0027235,              0.0027235
                    149,                0.13606,                0.63286,                0.96857,                0.77386,               0.002674,               0.002674,               0.002674
                    150,                0.13535,                   0.63,                0.96714,                0.77356,              0.0026245,              0.0026245,              0.0026245
                    151,                0.13803,                0.62857,                0.96571,                0.77335,               0.002575,               0.002575,               0.002575
                    152,                0.13534,                   0.63,                0.96714,                0.77314,              0.0025255,              0.0025255,              0.0025255
                    153,                0.13209,                   0.63,                0.96714,                0.77297,               0.002476,               0.002476,               0.002476
                    154,                 0.1325,                0.63143,                0.96571,                 0.7729,              0.0024265,              0.0024265,              0.0024265
                    155,                0.13106,                0.63143,                0.96429,                0.77282,               0.002377,               0.002377,               0.002377
                    156,                0.12898,                0.63143,                0.96429,                0.77251,              0.0023275,              0.0023275,              0.0023275
                    157,                0.12799,                0.63143,                0.96429,                0.77234,               0.002278,               0.002278,               0.002278
                    158,                0.12775,                   0.63,                0.96571,                0.77214,              0.0022285,              0.0022285,              0.0022285
                    159,                0.12735,                   0.63,                0.96571,                0.77206,               0.002179,               0.002179,               0.002179
                    160,                0.12411,                   0.63,                0.96571,                0.77193,              0.0021295,              0.0021295,              0.0021295
                    161,                0.12395,                   0.63,                0.96714,                0.77184,                0.00208,                0.00208,                0.00208
                    162,                 0.1199,                0.63286,                0.96857,                0.77159,              0.0020305,              0.0020305,              0.0020305
                    163,                0.11932,                0.63286,                0.96857,                0.77147,               0.001981,               0.001981,               0.001981
                    164,                0.11889,                0.63286,                   0.97,                0.77133,              0.0019315,              0.0019315,              0.0019315
                    165,                0.11948,                0.63714,                   0.97,                0.77121,               0.001882,               0.001882,               0.001882
                    166,                 0.1171,                0.63714,                   0.97,                0.77101,              0.0018325,              0.0018325,              0.0018325
                    167,                0.11607,                   0.64,                0.96857,                0.77078,               0.001783,               0.001783,               0.001783
                    168,                0.11412,                0.64143,                0.96714,                0.77054,              0.0017335,              0.0017335,              0.0017335
                    169,                0.11275,                0.64429,                0.96571,                0.77031,               0.001684,               0.001684,               0.001684
                    170,                 0.1105,                0.64286,                0.96571,                0.77021,              0.0016345,              0.0016345,              0.0016345
                    171,                0.11116,                   0.64,                0.96429,                0.77008,               0.001585,               0.001585,               0.001585
                    172,                0.10802,                0.63714,                0.96429,                0.76983,              0.0015355,              0.0015355,              0.0015355
                    173,                0.10562,                0.63429,                0.96286,                0.76966,               0.001486,               0.001486,               0.001486
                    174,                0.10735,                0.63143,                0.96286,                0.76949,              0.0014365,              0.0014365,              0.0014365
                    175,                0.10461,                   0.63,                0.96286,                0.76933,               0.001387,               0.001387,               0.001387
                    176,                0.10302,                0.63286,                0.96143,                 0.7692,              0.0013375,              0.0013375,              0.0013375
                    177,                 0.1008,                0.63571,                0.96143,                0.76907,               0.001288,               0.001288,               0.001288
                    178,                0.10144,                   0.64,                0.96143,                0.76897,              0.0012385,              0.0012385,              0.0012385
                    179,                0.09661,                   0.64,                0.96143,                0.76878,               0.001189,               0.001189,               0.001189
                    180,                0.09802,                0.63714,                   0.96,                 0.7686,              0.0011395,              0.0011395,              0.0011395
                    181,                0.09536,                0.63429,                   0.96,                0.76839,                0.00109,                0.00109,                0.00109
                    182,                 0.0928,                0.64143,                   0.96,                0.76818,              0.0010405,              0.0010405,              0.0010405
                    183,                0.09312,                   0.64,                0.95857,                0.76795,               0.000991,               0.000991,               0.000991
                    184,                0.09158,                0.64143,                0.95857,                0.76783,              0.0009415,              0.0009415,              0.0009415
                    185,                0.09002,                0.64143,                0.95857,                0.76757,               0.000892,               0.000892,               0.000892
                    186,                0.08533,                   0.64,                0.95857,                0.76734,              0.0008425,              0.0008425,              0.0008425
                    187,                 0.0867,                   0.64,                0.95857,                0.76709,               0.000793,               0.000793,               0.000793
                    188,                 0.0828,                0.64143,                0.95714,                 0.7669,              0.0007435,              0.0007435,              0.0007435
                    189,                0.08197,                   0.64,                0.95571,                0.76674,               0.000694,               0.000694,               0.000694
                    190,                0.08136,                0.63857,                0.95429,                0.76656,              0.0006445,              0.0006445,              0.0006445
                    191,                0.07978,                0.63714,                0.95429,                0.76654,               0.000595,               0.000595,               0.000595
                    192,                0.07851,                0.63429,                0.95429,                0.76652,              0.0005455,              0.0005455,              0.0005455
                    193,                0.07694,                0.63286,                0.95429,                0.76643,               0.000496,               0.000496,               0.000496
                    194,                0.07619,                0.63571,                0.95429,                0.76637,              0.0004465,              0.0004465,              0.0004465
                    195,                0.07312,                0.63571,                0.95429,                0.76632,               0.000397,               0.000397,               0.000397
                    196,                0.07073,                0.63857,                0.95286,                0.76622,              0.0003475,              0.0003475,              0.0003475
                    197,                0.07178,                0.63857,                0.95286,                0.76622,               0.000298,               0.000298,               0.000298
                    198,                0.06994,                0.63857,                0.95286,                0.76618,              0.0002485,              0.0002485,              0.0002485
                    199,                0.06873,                0.63857,                0.95286,                0.76615,               0.000199,               0.000199,               0.000199
